"author","title","link"
"Rabbi Moshe Weinberger","Real Prayer Transforms The Person","https://www.yutorah.org/lectures/details?shiurid=826258"
"Rabbi Ezra Schwartz","Permission to Deceive: Halachot of Lying","https://www.yutorah.org/lectures/details?shiurid=739377"
"Rabbi Shalom Hammer","Toldot: Strength of Conviction","https://www.yutorah.org/lectures/details?shiurid=739140"
"Rabbi Reuven Spolter","Parshat Toldot - Raising Different Children","https://www.yutorah.org/lectures/details?shiurid=739143"
"Rabbi Meir Lipschitz","The Sale of the Birthright","https://www.yutorah.org/lectures/details?shiurid=740825"
"Rabbi Jesse Horn","What Yaakov and Esuv were thinking when they traded the Bechorah","https://www.yutorah.org/lectures/details?shiurid=739213"
"Rabbi Baruch Simon","Toldos 5770 - Learning Even From Bad Traits","https://www.yutorah.org/lectures/details?shiurid=739215"
"Rabbi Andi Yudin","Parshas Toldos: You Are What You Say","https://www.yutorah.org/lectures/details?shiurid=739221"
"Rabbi Ephraim Greene","A Yaakov Avinu Perspective on Olam Hazeh","https://www.yutorah.org/lectures/details?shiurid=739243"
"Rabbi Chaim Eisenstein","Avimelech vs. Paroh, mitzrayim vs. Grar; study of contrasts","https://www.yutorah.org/lectures/details?shiurid=739248"
"Rabbi Michael Taubes","Pashas Toldos Kibud Av V'Em A Parent that is Mochel Their Kovod","https://www.yutorah.org/lectures/details?shiurid=739272"
"Rabbi Aaron Feigenbaum","Parshas Toldos Maaser Avos","https://www.yutorah.org/lectures/details?shiurid=739310"
"Mrs Ilana Saks","Black and White and Read Again","https://www.yutorah.org/lectures/details?shiurid=739190"
"Rabbi Aharon Kahn","The Geneology of Zera Avraham and Bris Milah - A birds eye view of Bereishis (Parashas Toldos)","https://www.yutorah.org/lectures/details?shiurid=739200"
"Rabbi Moshe Tzvi Weinberg","The Silence in the Soup","https://www.yutorah.org/lectures/details?shiurid=739537"
"Rabbi Ally Ehrman","Eisav Is Complete - Or So He Thinks","https://www.yutorah.org/lectures/details?shiurid=739222"
"Rabbi Yisroel Kaminetsky","Yitzchak's Wells","https://www.yutorah.org/lectures/details?shiurid=739259"
"Rabbi Michael Taubes","Parshas Toldos Kinyanim by common Custom","https://www.yutorah.org/lectures/details?shiurid=739286"
"Rabbi Daniel Fridman","Chosen Ones 6: The Gravitas of Yitzchak","https://www.yutorah.org/lectures/details?shiurid=739362"
"Rabbi Zev Reichman","Eisav & Yaakov - Body and Soul","https://www.yutorah.org/lectures/details?shiurid=739683"
"Rabbi Jonathan Rosenblatt","Parshat Toldot","https://www.yutorah.org/lectures/details?shiurid=775568"
"Mrs. Shira Smiles","130 Toldos Drawing Inspiration From the Wells","https://www.yutorah.org/lectures/details?shiurid=740405"
"Mrs. Shira Smiles","172 Toldot Testing the Essence","https://www.yutorah.org/lectures/details?shiurid=740443"
"Mrs. Shira Smiles","5769 70 08 toldos emerging worlds","https://www.yutorah.org/lectures/details?shiurid=740591"
"Rabbi Zev Reichman","Toldos","https://www.yutorah.org/lectures/details?shiurid=742124"
"Rabbi Mordechai Torczyner","Amos: Perek 1, Pesukim 3-12","https://www.yutorah.org/lectures/details?shiurid=743153"
"Rabbi Moshe Taragin","Parshas Toldot - Decisions Decisions","https://www.yutorah.org/lectures/details?shiurid=746627"
"Rabbi Moshe Taragin","Parshas Toldot - How Could Esav Squander the Bechora?","https://www.yutorah.org/lectures/details?shiurid=746628"
"Rabbi Ally Ehrman","Ushpizin D'Yaakov - Ish Tam V'ish Sadeh","https://www.yutorah.org/lectures/details?shiurid=747847"
"Rabbi Chaim Eisenstein","Toldot: Yitzchak and Rivka's Machloket","https://www.yutorah.org/lectures/details?shiurid=751231"
"Rabbi Eliezer Lerner","Parshat Toldot - 15 minute weekly sicha","https://www.yutorah.org/lectures/details?shiurid=781955"
"Rabbi Ari Zahtz","Parshas Toldos Yitzchaks Love for Eisav","https://www.yutorah.org/lectures/details?shiurid=751248"
"Rabbi Michael Rosensweig","The Impact of the Akeidah on Jewish Thought","https://www.yutorah.org/lectures/details?shiurid=751250"
"Rabbi Zev Reichman","Divrei Torah on Parshas Toldos","https://www.yutorah.org/lectures/details?shiurid=751350"
"Rabbi Avishai David","The Struggle Between Yaakov and Esav","https://www.yutorah.org/lectures/details?shiurid=751774"
"Rabbi Benjamin Yudin","Why is Rebbe the chosen descendant of Yaacov?","https://www.yutorah.org/lectures/details?shiurid=751993"
"Rabbi Meir Goldwicht","Parshat Toldot","https://www.yutorah.org/lectures/details?shiurid=751614"
"Rabbi Michael Olshin","Will the Real Yaakov Please Stand Up","https://www.yutorah.org/lectures/details?shiurid=751642"
"Rabbi Zev Reichman","Why did Yitzchak love Esav?","https://www.yutorah.org/lectures/details?shiurid=751466"
"Rabbi Reuven Spolter","Parshat Toldot:A Bowl of Stew and the Price of Faith","https://www.yutorah.org/lectures/details?shiurid=751602"
"Rabbi Andi Yudin","Parshas Toldos: Torah: The Heart of the Jew","https://www.yutorah.org/lectures/details?shiurid=751641"
"Rabbi Avi Schneider","Twin Challenges","https://www.yutorah.org/lectures/details?shiurid=751776"
"Rabbi Baruch Simon","Toldos 5771 - Overcoming Weakness and the Need for Brachos","https://www.yutorah.org/lectures/details?shiurid=751793"
"Rabbi Moshe Taragin","Toldos: Walking Down the Path of Others","https://www.yutorah.org/lectures/details?shiurid=751796"
"Rabbi Aryeh Lebowitz","Toldos Derasha - Bending For Ratzon Hashem","https://www.yutorah.org/lectures/details?shiurid=751800"
"Rabbi Moshe Tzvi Weinberg","Toldos 5771 - A Perfect Love- Hashem's Love for Bnei Yisrael @ CBY","https://www.yutorah.org/lectures/details?shiurid=751809"
"Rabbi Chaim Brovender","Did Esav Do Teshuva?","https://www.yutorah.org/lectures/details?shiurid=751825"
"Rabbi Chaim Eisenstein","Parshat Toldot - Gemilut chasadim and seudat havra'a","https://www.yutorah.org/lectures/details?shiurid=751831"
"Rabbi Michael Taubes","Toldos Besamim and Havdalah","https://www.yutorah.org/lectures/details?shiurid=751851"
"Rabbi David Lebor","Why is Yitzchak One of the Avot","https://www.yutorah.org/lectures/details?shiurid=751908"
"Rabbi Dovid Gottlieb","Ha'alitehu Le'Rasha Ve'yamus","https://www.yutorah.org/lectures/details?shiurid=752767"
"Rabbi Jesse Horn","Why Esuv got so mad when he lost the Bechora","https://www.yutorah.org/lectures/details?shiurid=751799"
"Rabbi Yisroel Kaminetsky","Parshat Toldot 5771: Studies in the Ramban","https://www.yutorah.org/lectures/details?shiurid=751845"
"Rabbi Michael Taubes","Parshas Toldos Wedding Minhagim and Forgiveness of Sins","https://www.yutorah.org/lectures/details?shiurid=751911"
"Rabbi Azarya Berzon","Ramban: Yitzchok and Rivka and the Brachot for their Children","https://www.yutorah.org/lectures/details?shiurid=752284"
"Rabbi Azarya Berzon","Insights into Parshat Toldot","https://www.yutorah.org/lectures/details?shiurid=752299"
"Rabbi Azarya Berzon","Selling the Birthright to Yaakov","https://www.yutorah.org/lectures/details?shiurid=752161"
"Rabbi Dovid Gottlieb","Toldot - Haliteini","https://www.yutorah.org/lectures/details?shiurid=789266"
"Rabbi Azarya Berzon","The Ramban's View on the Special Nature of the Performance of All Mitzvot in Eretz Yisrael","https://www.yutorah.org/lectures/details?shiurid=752494"
"Rabbi Ally Ehrman","Pachad Yitzchak Pesach Ma'amar 62: Gadlus Hada'as","https://www.yutorah.org/lectures/details?shiurid=760229"
"Rabbi Ari Kahn","The Relationship Of Esav And Rivka","https://www.yutorah.org/lectures/details?shiurid=844043"
"Rabbi Ari Kahn","Yishmael and Esav","https://www.yutorah.org/lectures/details?shiurid=844042"
"Rabbi Daniel Fridman","Of Fathers and Sons:וילכו שניהם יחדו","https://www.yutorah.org/lectures/details?shiurid=765659"
"Rabbi Hershel Schachter","The Importance of Finding a Rebbe","https://www.yutorah.org/lectures/details?shiurid=765893"
"Mrs. Shira Smiles","Toldos: Tumultuous Trembling","https://www.yutorah.org/lectures/details?shiurid=765986"
"Rabbi Eliezer Lerner","We need Tefilla, not Hashem","https://www.yutorah.org/lectures/details?shiurid=782865"
"Rabbi Ari Zahtz","Parshat Toldot The Bechora for Beans","https://www.yutorah.org/lectures/details?shiurid=765989"
"Rabbi Avishai David","The Vision of Yaakov","https://www.yutorah.org/lectures/details?shiurid=766029"
"Rabbi Eliezer Zwickler","Toldot: Food for Thought","https://www.yutorah.org/lectures/details?shiurid=765998"
"Rabbi Efrem Goldberg","Parshas Toldos: A Deceitful Truth","https://www.yutorah.org/lectures/details?shiurid=766001"
"Rabbi Aaron Leibtag","The Master Plan","https://www.yutorah.org/lectures/details?shiurid=766013"
"Rabbi Baruch Simon","Parshas Toldos 5772 Vayei'ater Lo Hashem - Limudim B'Kabalas HaTefillah","https://www.yutorah.org/lectures/details?shiurid=766015"
"Rabbi Yaakov B. Neuburger","Ramban Parsha Toldot","https://www.yutorah.org/lectures/details?shiurid=766027"
"Rabbi Moshe Taragin","Hypocrisy of the pigs","https://www.yutorah.org/lectures/details?shiurid=766032"
"Rabbi Zvi Romm","Ohr Hachaim on Toldot","https://www.yutorah.org/lectures/details?shiurid=766036"
"Rabbi Shay Schachter","""Baruch Sheptarani"" - Who recites and Why?","https://www.yutorah.org/lectures/details?shiurid=766138"
"Rabbi Reuven Spolter","Parshat Toldot - Internal and External Judiasm","https://www.yutorah.org/lectures/details?shiurid=766033"
"Rabbi Shalom Hammer","Toldot: National Religious and Yaakov","https://www.yutorah.org/lectures/details?shiurid=766042"
"Rabbi Andi Yudin","Thanksgiving Leads to Blessings","https://www.yutorah.org/lectures/details?shiurid=766044"
"Rabbi Chaim Brovender","Tzayid BeFiv - Tricks and Traps","https://www.yutorah.org/lectures/details?shiurid=766050"
"Rabbi Aryeh Leibowitz","Are There ""Type A"" Personalities?: Free Will and Character Traits","https://www.yutorah.org/lectures/details?shiurid=766053"
"Rabbi Shmuel Marcus","Toldos 5772","https://www.yutorah.org/lectures/details?shiurid=766098"
"Rabbi Akiva Koenigsberg","Torah Temimah Series - Toldot 1","https://www.yutorah.org/lectures/details?shiurid=766100"
"Rabbi Ephraim Greene","Toldos: Dig In!","https://www.yutorah.org/lectures/details?shiurid=766107"
"Rabbi Azarya Berzon","Parshat Toldot: Yitchok & Rivka, Esau & Yaakov, who gets the brachot and why?","https://www.yutorah.org/lectures/details?shiurid=766115"
"Rabbi Yehuda Goldschmidt","Esav's Foolish Value System","https://www.yutorah.org/lectures/details?shiurid=766111"
"Rabbi David Horwitz","Were the Patriarchs Rich?","https://www.yutorah.org/lectures/details?shiurid=766705"
"Rabbi Daniel Fridman","No Child Left Behind: Yitzchak's Deep Desire to Include Both of his Sons in the Masorah","https://www.yutorah.org/lectures/details?shiurid=766160"
"Mrs. Malke Bina","Yaakov and Esav: When Two Are One","https://www.yutorah.org/lectures/details?shiurid=766704"
"Rabbi Eli Reich","How Could Yitzchak Think Esav Should Get the Berachot","https://www.yutorah.org/lectures/details?shiurid=789261"
"Rabbi Beinish Ginsburg","Toldos- Yitzhak's role as one of the Avos","https://www.yutorah.org/lectures/details?shiurid=767423"
"Rabbi Ally Ehrman","The Koach Of Nesina","https://www.yutorah.org/lectures/details?shiurid=771745"
"Rabbi Ezra Frazer","Father Knows Best? Towards Understanding Yitzchak’s Love of Esav","https://www.yutorah.org/lectures/details?shiurid=772963"
"Rabbi Azarya Berzon","Parshet Vayeira: Lot's daughters propagate the world & defining the concept of Aveira LiShma; Parshat Chayei Sarah: Eliezer the Eved & the Ish; the words of the Torah & the expression of a person","https://www.yutorah.org/lectures/details?shiurid=783810"
"Rabbi Meir Goldwicht","Matza Isha Matza Tov: Only Good? Not Very Good?","https://www.yutorah.org/lectures/details?shiurid=783861"
"Mrs. Shira Smiles","Forgiveness and Fortitude","https://www.yutorah.org/lectures/details?shiurid=783899"
"Rabbi Eliezer Lerner","Parshat Toldot - 15 minute weekly sicha","https://www.yutorah.org/lectures/details?shiurid=783917"
"Rabbi Reuven Taragin","Parsha K'pshuta- Parashat Toldot","https://www.yutorah.org/lectures/details?shiurid=784076"
